answer_key,answer
create_og,"Groups and Settings -> Settings -> Create OG."
token_authentication,"Use HMAC token authentication. Go to UEM Console -> Groups & Settings -> All Settings -> Apps -> Settings and Policies -> Security Policies -> Enable App Authentication with HMAC."
custom_settings,"Go to UEM Console -> Groups & Settings -> All Settings -> Apps -> Settings and Policies -> Custom Settings -> Add key-value pair configuration."
upload_ssl_certificate,"Go to UEM Console -> Groups & Settings -> All Settings -> System -> Enterprise Integration -> Certificate Authority -> Upload .cer file for SSL pinning."
extract_ssl_certificate,"Extract the certificate using openssl: openssl s_client -connect <server>:443 | openssl x509 -outform DER -out cert.cer. Then upload to UEM Console."
test_third_party_apps,"Build and install the third-party app via Xcode or TestFlight. Ensure the app is added to UEM Console under Apps & Books -> Applications -> Internal App. Assign to the correct Smart Group."
debug_third_party_app,"Attach Xcode debugger to the running third-party app process. Use Console.app or Xcode Debug -> Attach to Process for logs."
email_enrolment,"Email enrolment uses the user's corporate email as credential. Configure under UEM Console -> Devices -> Device Settings -> General -> Enrollment -> Authentication Mode -> Email."
wrong_password_lockout,"After multiple wrong attempts the device gets locked. Admin can unlock from UEM Console -> Devices -> List View -> Select Device -> More Actions -> Unlock."
boxer_configuration,"Go to UEM Console -> Apps & Books -> Applications -> Native -> Boxer -> Assignment -> Configure Email/Calendar/Contacts settings with the Exchange server details. Exchange and ActiveSync: mail-mem16.ssdevrd.com Domain: mem16 User: mem4 Email: mem4@mem16.ssdevrd.com Password: Password1 with this configuration we can do standalone and MDM enrollment Boxer MDM enrolment step: Enroll Hub → Enrolment completed → Launch Boxer → will popup pre-filled email → enter password->It will show boxer email."
Standalone Enrolment: Launch boxer → Enter Configuration email → Select Manual Setup → Service url/OG → username/password → wait If poppup email screen (Otherwise quit and Launch boxer app)→ Enter password → See boxer email "
integrated_authentication,"Enable IA under UEM Console -> Groups & Settings -> All Settings -> Apps -> Settings and Policies -> Security Policies -> Integrated Authentication -> Add allowed URLs."
ia_with_certificates,"Configure certificate-based IA: Upload CA cert to UEM -> Create SDK Profile with IA enabled -> Add certificate credential payload -> Assign to app. Test by accessing the allowed URL."
enrolment_types,"UEM supports 3 enrolment modes: 1) MDM (Mobile Device Management) Mode - full device management. 2) Standalone Mode - app-level management without MDM. 3) Register Mode - lightweight registration."
enable_unenrol,"Go to UEM Console -> Groups & Settings -> All Settings -> Devices & Users -> General -> Enrollment -> Restrictions -> Enable User Unenrollment option."
checkin_checkout,"Enable Shared Device mode in UEM Console -> Groups & Settings -> All Settings -> Devices & Users -> General -> Shared Device. Then test login/logout with different users on the same device."
ocsp_testing,"Configure OCSP under UEM Console -> Groups & Settings -> All Settings -> System -> Enterprise Integration -> OCSP -> Add responder URL. Test with certificates that have OCSP responder configured."
create_mdm_profile,"Go to UEM Console -> Devices -> Profiles & Resources -> Profiles -> Add -> Add Profile -> Select platform (iOS) -> Configure payload settings -> Save & Publish."
revoke_hmac_token,"Go to UEM Console -> Apps & Books -> Applications -> Select App -> More -> Revoke Token. Then test 403 response and silent HMAC refresh flow in the SDK app."
